"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Infraestrutura","0","Health Check","1","0","Verificar se a API está online","0"
"0","Booking","0","Update Booking","1","0","Atualizar reserva existente","0"
"0","Booking","0","Get Bookings","1","0","Buscar todos os bookings","0"
"0","Booking","0","Update Booking","1","0","Atualizar reserva sem token","0"
"0","Booking","0","Create Booking","1","0","Criar reserva com sucesso e validar contrato","0"
"0","Booking","0","Get Bookings","1","0","Buscar bookings por nome","0"
"0","Booking","0","Get Bookings","1","0","Buscar reserva específica por ID","0"
"0","Booking","0","Get Bookings","1","0","Buscar reserva inexistente","0"
"0","Booking","0","Delete Booking","1","0","Excluir uma reserva com sucesso","0"
"0","Booking","0","Delete Booking","1","0","Tentar excluir reserva sem token","0"
"0","Booking","0","Partial Update Booking","1","0","Atualizar apenas nome e sobrenome com dados aleatórios","0"
